display_name,yahoo_symbol,exchange,type,company_name
ATGL,ATGL.BO,BSE,equity,Adani Total Gas Limited
ATLANTAA,ATLANTAA.BO,BSE,equity,ATLANTAA LIMITED
ATLANTAELE,ATLANTAELE.BO,BSE,equity,Atlanta Electricals Limited
ATLASCYCLE,ATLASCYCLE.BO,BSE,equity,Atlas Cycles (Haryana) Limited
ATUL,ATUL.BO,BSE,equity,Atul Limited
ATULAUTO,ATULAUTO.BO,BSE,equity,Atul Auto Limited
AUBANK,AUBANK.BO,BSE,equity,AU Small Finance Bank Limited
AURIONPRO,AURIONPRO.BO,BSE,equity,Aurionpro Solutions Limited
AUROPHARMA,AUROPHARMA.BO,BSE,equity,Aurobindo Pharma Limited
AURUM,AURUM.BO,BSE,equity,Aurum PropTech Limited
AUTOIETF,AUTOIETF.BO,BSE,equity,
AUTOIND,AUTOIND.BO,BSE,equity,Autoline Industries Limited
AVALON,AVALON.BO,BSE,equity,Avalon Technologies Limited
AVANTIFEED,AVANTIFEED.BO,BSE,equity,Avanti Feeds Limited
AVG,AVG.BO,BSE,equity,AVG Logistics Limited
AVTNPL,AVTNPL.BO,BSE,equity,AVT Natural Products Limited
AWFIS,AWFIS.BO,BSE,equity,Awfis Space Solutions Limited
AWL,AWL.BO,BSE,equity,AWL Agri Business Limited
AXISCADES,AXISCADES.BO,BSE,equity,AXISCADES Technologies Limited
AXISGOLD,AXISGOLD.BO,BSE,equity,
AXISHCETF,AXISHCETF.BO,BSE,equity,
AXISTECETF,AXISTECETF.BO,BSE,equity,
AXITA,AXITA.BO,BSE,equity,Axita Cotton Limited
AXSENSEX,AXSENSEX.BO,BSE,equity,
AYE,AYE.BO,BSE,equity,Aye Finance Limited
AYMSYNTEX,AYMSYNTEX.BO,BSE,equity,AYM Syntex Limited
BAGFILMS,BAGFILMS.BO,BSE,equity,B.A.G Films and Media Limited
BAIDFIN,BAIDFIN.BO,BSE,equity,Baid Finserv Limited
BAJAJCON,BAJAJCON.BO,BSE,equity,Bajaj Consumer Care Limited
BAJAJELEC,BAJAJELEC.BO,BSE,equity,Bajaj Electricals Limited
BAJAJFINSV,BAJAJFINSV.BO,BSE,equity,Bajaj Finserv Limited
BAJAJHCARE,BAJAJHCARE.BO,BSE,equity,Bajaj Healthcare Limited
BAJAJINDEF,BAJAJINDEF.BO,BSE,equity,Indef Manufacturing Limited
BAJEL,BAJEL.BO,BSE,equity,Bajel Projects Limited
BALAJEE,BALAJEE.BO,BSE,equity,Shree Tirupati Balajee Agro Trading Company Limited
BALAMINES,BALAMINES.BO,BSE,equity,Balaji Amines Limited
BALKRISHNA,BALKRISHNA.BO,BSE,equity,Balkrishna Paper Mills Limited
BALMLAWRIE,BALMLAWRIE.BO,BSE,equity,Balmer Lawrie & Company Limited
BALRAMCHIN,BALRAMCHIN.BO,BSE,equity,Balrampur Chini Mills Limited
BALUFORGE,BALUFORGE.BO,BSE,equity,Balu Forge Industries Limited
BANARBEADS,BANARBEADS.BO,BSE,equity,Banaras Beads Limited
BANARISUG,BANARISUG.BO,BSE,equity,Bannari Amman Sugars Limited
BANKADD,BANKADD.BO,BSE,equity,
BANKBEES,BANKBEES.BO,BSE,equity,
BANKBETA,BANKBETA.BO,BSE,equity,
BANKETF,BANKETF.BO,BSE,equity,
BANKIETF,BANKIETF.BO,BSE,equity,
BANKINDIA,BANKINDIA.BO,BSE,equity,Bank of India
BANKNIFTY1,BANKNIFTY1.BO,BSE,equity,
BANKPSU,BANKPSU.BO,BSE,equity,
BANSALWIRE,BANSALWIRE.BO,BSE,equity,Bansal Wire Industries Limited
BANSWRAS,BANSWRAS.BO,BSE,equity,Banswara Syntex Limited
BASF,BASF.BO,BSE,equity,BASF India Limited
BATAINDIA,BATAINDIA.BO,BSE,equity,Bata India Limited
BBNPNBETF,BBNPNBETF.BO,BSE,equity,
BBTC,BBTC.BO,BSE,equity,The Bombay Burmah Trading Corporation Limited
BBTCL,BBTCL.BO,BSE,equity,B&B Triplewall Containers Limited
BCG,BCG.BO,BSE,equity,Brightcom Group Limited
BCONCEPTS,BCONCEPTS.BO,BSE,equity,Brand Concepts Limited
BDL,BDL.BO,BSE,equity,Bharat Dynamics Limited
BEPL,BEPL.BO,BSE,equity,Bhansali Engineering Polymers Limited
BESTAGRO,BESTAGRO.BO,BSE,equity,Best Agrolife Limited
BFINVEST,BFINVEST.BO,BSE,equity,BF Investment Limited
BFSI,BFSI.BO,BSE,equity,
BFUTILITIE,BFUTILITIE.BO,BSE,equity,BF Utilities Limited
BHAGCHEM,BHAGCHEM.BO,BSE,equity,Bhagiradha Chemicals & Industries Limited
BHAGERIA,BHAGERIA.BO,BSE,equity,Bhageria Industries Limited
BHAGYANGR,BHAGYANGR.BO,BSE,equity,Bhagyanagar India Limited
BHARATCOAL,BHARATCOAL.BO,BSE,equity,Bharat Coking Coal Limited
BHARTIHEXA,BHARTIHEXA.BO,BSE,equity,Bharti Hexacom Limited
BHEL,BHEL.BO,BSE,equity,Bharat Heavy Electricals Limited
BIGBLOC,BIGBLOC.BO,BSE,equity,Bigbloc Construction Limited
BIOCON,BIOCON.BO,BSE,equity,Biocon Limited
BLACKBUCK,BLACKBUCK.BO,BSE,equity,BLACKBUCK LIMITED
BLAL,BLAL.BO,BSE,equity,BEML Land Assets Limited
BLKASHYAP,BLKASHYAP.BO,BSE,equity,B. L. Kashyap and Sons Limited
BLSE,BLSE.BO,BSE,equity,BLS E-Services Limited
BLUECHIP,BLUECHIP.BO,BSE,equity,
BLUECOAST,BLUECOAST.BO,BSE,equity,Blue Coast Hotels Limited
BLUEJET,BLUEJET.BO,BSE,equity,Blue Jet Healthcare Limited
BLUESTARCO,BLUESTARCO.BO,BSE,equity,Blue Star Limited
BOMDYEING,BOMDYEING.BO,BSE,equity,Bombay Dyeing & Mfg Company Limited
BORANA,BORANA.BO,BSE,equity,Borana Weaves Limited
BOROLTD,BOROLTD.BO,BSE,equity,Borosil Limited
BORORENEW,BORORENEW.BO,BSE,equity,BOROSIL RENEWABLES LIMITED
BOROSCI,BOROSCI.BO,BSE,equity,Borosil Scientific Limited
BOSCH-HCIL,BOSCH-HCIL.BO,BSE,equity,BOSCH HOME COMFORT INDIA LIMITED
BOSCHLTD,BOSCHLTD.BO,BSE,equity,Bosch Limited
BPCL,BPCL.BO,BSE,equity,Bharat Petroleum Corporation Limited
BRIGHOTEL,BRIGHOTEL.BO,BSE,equity,Brigade Hotel Ventures Limited
BSE500IETF,BSE500IETF.BO,BSE,equity,
BSHSL,BSHSL.BO,BSE,equity,Bombay Super Hybrid Seeds Limited
BSL,BSL.BO,BSE,equity,BSL Limited
BSLGOLDETF,BSLGOLDETF.BO,BSE,equity,
BUILDPRO,BUILDPRO.BO,BSE,equity,Shankara Buildpro Limited
BURNPUR,BURNPUR.BO,BSE,equity,
BUTTERFLY,BUTTERFLY.BO,BSE,equity,Butterfly Gandhimathi Appliances Limited
BYKE,BYKE.BO,BSE,equity,The Byke Hospitality Ltd
CALSOFT,CALSOFT.BO,BSE,equity,California Software Company Limited
CAMLINFINE,CAMLINFINE.BO,BSE,equity,Camlin Fine Sciences Limited
CAMPUS,CAMPUS.BO,BSE,equity,Campus Activewear Limited
CANFINHOME,CANFINHOME.BO,BSE,equity,Can Fin Homes Limited
CAPACITE,CAPACITE.BO,BSE,equity,Capacit'e Infraprojects Limited
CARBORUNIV,CARBORUNIV.BO,BSE,equity,Carborundum Universal Limited
CASTROLIND,CASTROLIND.BO,BSE,equity,Castrol India Limited
CCCL,CCCL.BO,BSE,equity,Consolidated Construction Consortium Limited
CEATLTD,CEATLTD.BO,BSE,equity,CEAT Limited
CEIGALL,CEIGALL.BO,BSE,equity,Ceigall India Limited
CELLO,CELLO.BO,BSE,equity,Cello World Limited
CENTENKA,CENTENKA.BO,BSE,equity,Century Enka Limited
CENTEXT,CENTEXT.BO,BSE,equity,Century Extrusions Limited
CENTRALBK,CENTRALBK.BO,BSE,equity,Central Bank of India
CENTURYPLY,CENTURYPLY.BO,BSE,equity,Century Plyboards (India) Limited
CERA,CERA.BO,BSE,equity,Cera Sanitaryware Limited
CEREBRAINT,CEREBRAINT.BO,BSE,equity,Cerebra Integrated Technologies Limited
CESC,CESC.BO,BSE,equity,CESC Limited
CEWATER,CEWATER.BO,BSE,equity,Concord Enviro Systems Limited
CGCL,CGCL.BO,BSE,equity,Capri Global Capital Limited
CGPOWER,CGPOWER.BO,BSE,equity,CG Power and Industrial Solutions Limited
CHALET,CHALET.BO,BSE,equity,Chalet Hotels Limited
CHAMBLFERT,CHAMBLFERT.BO,BSE,equity,Chambal Fertilizers & Chemicals Limited
CHEMBOND,CHEMBOND.BO,BSE,equity,Chembond Material Technologies Limited
CHEMBONDCH,CHEMBONDCH.BO,BSE,equity,Chembond Chemicals Limited
CHEMCON,CHEMCON.BO,BSE,equity,Chemcon Speciality Chemicals Limited
CHEMPLASTS,CHEMPLASTS.BO,BSE,equity,Chemplast Sanmar Limited
CHENNPETRO,CHENNPETRO.BO,BSE,equity,Chennai Petroleum Corporation Limited
CHEVIOT,CHEVIOT.BO,BSE,equity,Cheviot Company Limited
CHOICEGOLD,CHOICEGOLD.BO,BSE,equity,
CHOLAFIN,CHOLAFIN.BO,BSE,equity,Cholamandalam Investment and Finance Company Limited
CINELINE,CINELINE.BO,BSE,equity,Cineline India Limited
CINEVISTA,CINEVISTA.BO,BSE,equity,Cinevista Limited
CIPLA,CIPLA.BO,BSE,equity,Cipla Limited
CLEDUCATE,CLEDUCATE.BO,BSE,equity,CL Educate Limited
CLSEL,CLSEL.BO,BSE,equity,Chaman Lal Setia Exports Limited
CMSINFO,CMSINFO.BO,BSE,equity,CMS Info Systems Limited
CNL,CNL.BO,BSE,equity,Creative Newtech Limited
COALINDIA,COALINDIA.BO,BSE,equity,Coal India Limited
